Continent,Country,Province-eng,Province-chi,Town-eng,Town-chi,Source
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Arrowhead,亞利血埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ashcroft,鴉市給笠埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Barkerville,百架委利埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cache Creek,坎舒架利埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Chemainus,始緬尼市埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Chilliwack,車釐役埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Clayoquat,企李島括埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Clinton,企冷頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Coal Creek,柯格利埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Columbia,加罧鼻埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cranbrook,很卜碌埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Cumberland,冚把倫埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Dog Creek,作古力埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Duncan Station,黨近市姊臣埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Enderby,典打備埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Extension,的市賛臣埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Fernie,寬尼埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Fort Steele,闊市姊路埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Golden,俄而剪埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Grand Forks,加蘭福埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Greenwood,企連鬱埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,High River,體利罷埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kaslo,卡市碌埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kamloops,錦碌埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Kelowna,企老那埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Keremeos,卡罅猫市埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ladner,列伍尼埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Ladysmith,李地市覓埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Lillooet,廬路的埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Lulu Island,魯地底崙埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Merritt,尾列埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Mission City,尾臣埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Mt. Sicker,網地昔呀埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Nelson,汝利慎埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,New Westminster,紐委市棉地市,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Nicola Lake,匿哥罅力埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Penticton,片地頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Port Hammond,砵添問埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Princeton,舖粦市頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Quesnel,改市尼埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Quesnelle Forks,改市尼福市埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Revelstoke,笠委市足埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Rock Creek,洛姬力埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Rossland,老市崙,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Salmon Arm,沙面胆埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Savona,沙允那埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Sidney,雪汝 又名雪梨,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Stanley,市賛利埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Steveston,市姊話市頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Summerland,森馬崙埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Trail,子李兒埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Union Bay,夭寅庇埠,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Vancouver,雲高華,"Wong Kin, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Victoria,域多利埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Canmore,根麼埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Carstairs,卡市姐市埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Coleman,咕文埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Crossfield,哥老市裴埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Daysland,姊市倫埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Didsbury,節衣表里埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Edmonton,狄文頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Innisfail,顚汝市啡頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Lacombe,拉冚比埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Lethbridge,笠付布列珠埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Macleod,麥孔路埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Okotoka,力姬租姬市埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Olds,阿路市埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Pincher Creek,片治姫力埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Raymond,釐文埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Red Deer,力姐埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Stettler,雪自罅埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Strathcona,士子列干拿埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Vegreville,委哥委利埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Nanton,南頓 又名赧頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Alameda,亞拉蜜打埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Broadview,布律夭右埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Chamberlain,湛巴倫埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Dundurn,賛頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Gainsborough,堅市布路埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Hanley,顯利埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Maple Creek,尾䈬咕力埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Medicine Hat,尾大愼血埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Moose Jaw,舞市搾埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Morse,舞市埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Regina,李振那埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Swift Current,市位卡連埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Weyburn,威本埠,"Wong Kin, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Yorkton,約頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Battleford,八自路佛埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Melfort,者路佛埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Milestone,尾路市頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Prince Albert,普粦市爹別埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Rosthern,路市頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Saskatoon,沙市吉寸埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Berlin,柏林埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Brantford,佈蘭佛埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Brockville,布碌委埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Cobourg,咕卜埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Collingwood,咕靈鬱埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Guelph,桂兒扶埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Hamilton,坎馬頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Kingston,京市頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,London,蘭頓埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Magard Falls,尾葛伙市,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,North Bay,那夫卑埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Ottawa,柯地和埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Owen Sound,多雲爽埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Peterborough,彼得布路付埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Port Arthur,本達打埠 又名旅順埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Toronto,粗朗度埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,St. Thomas,聖參馬市埠,"Wong Kin, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Windsor,穩梳埠,"Wong Kin, 1913"
North America,Canada 加拿大,Quebec,葵迫省,Montreal,滿地可埠,"Wong Kin, 1913"
North America,Canada 加拿大,Quebec,葵迫省,Quebec,葵迫埠,"Wong Kin, 1913"
North America,Canada 加拿大,Manitoba,穩尼辟省,Brandon,布蘭安埠,"Wong Kin, 1913"
North America,Canada 加拿大,Manitoba,穩尼辟省,Winnipeg,穩尼辟埠,"Wong Kin, 1913"
North America,Canada 加拿大,New Brunswick,紐砵市役省,Fairville,啡委利,"Wong Kin, 1913"
North America,Canada 加拿大,New Brunswick,紐砵市役省,St. John,聖轉埠,"Wong Kin, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Halifax,喜利福士埠,"Wong Kin, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Louisbourg,藟市卜埠,"Wong Kin, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Parrsboro,怕市布路埠,"Wong Kin, 1913"
North America,Canada 加拿大,Newfoundland,紐芬蘭島,St. John's,聖轉埠,"Wong Kin, 1913"
North America,United States 美國,Alabama,亞罅泵馬省,Mobile,舞比利埠,"Wong Kin, 1913"
North America,United States 美國,Alabama,亞罅泵馬省,Montgomery,孟金馬利埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Ash Fork,底市福埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Clifton,企粒頓埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Congress,港架利市埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Flagstaff,夫冷市接埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Gila Bend,紀路丙埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Globe,古碌埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Harshaw,他梳埠,"Wong Kin, 1913"
